sound,grating_freq,stimulus_start,correct_key,response,key_pressed,RTs,order,condition,task
820Hz.wav,6,0.9,h,1,'h',0.537190199,17,1,1
820Hz.wav,6,1.1,h,1,'h',0.416012913,1,1,1
820Hz.wav,6,1.3,h,1,'h',0.434791893,28,1,1
820Hz.wav,6,1.5,h,1,'h',0.466168612,31,1,1
820Hz.wav,2,0.9,l,1,'l',0.385951996,26,1,1
820Hz.wav,2,1.1,l,1,'l',0.49824369,35,1,1
820Hz.wav,2,1.3,l,1,'l',0.387667,5,1,1
820Hz.wav,2,1.5,l,0,'h',0.404393286,8,1,1
silence.wav,6,0.9,h,1,'h',0.427657187,23,0,1
silence.wav,6,1.1,h,1,'h',0.359764606,14,0,1
silence.wav,6,1.3,h,1,'h',0.413990289,37,0,1
silence.wav,6,1.5,h,1,'h',0.460912496,16,0,1
silence.wav,2,0.9,l,1,'l',0.454924196,22,0,1
silence.wav,2,1.1,l,1,'l',0.296812803,15,0,1
silence.wav,2,1.3,l,1,'l',0.389873892,3,0,1
silence.wav,2,1.5,l,1,'l',0.501988888,30,0,1
820Hz.wav,6,0.9,h,1,'h',0.578705311,9,1,1
820Hz.wav,6,1.1,h,1,'h',0.435425103,10,1,1
820Hz.wav,6,1.3,h,1,'h',0.341995806,38,1,1
820Hz.wav,6,1.5,h,0,'l',0.371197611,7,1,1
820Hz.wav,2,0.9,l,1,'l',0.558566093,44,1,1
820Hz.wav,2,1.1,l,1,'l',0.458543897,13,1,1
820Hz.wav,2,1.3,l,1,'l',0.624400973,43,1,1
820Hz.wav,2,1.5,l,1,'l',0.433787286,21,1,1
silence.wav,6,0.9,h,1,'h',0.428733408,4,0,1
silence.wav,6,1.1,h,1,'h',0.527078509,47,0,1
silence.wav,6,1.3,h,1,'h',0.45878759,20,0,1
silence.wav,6,1.5,h,1,'h',0.414020389,40,0,1
silence.wav,2,0.9,l,1,'l',0.58636111,19,0,1
silence.wav,2,1.1,l,1,'l',0.990718603,42,0,1
silence.wav,2,1.3,l,1,'l',0.455682099,39,0,1
silence.wav,2,1.5,l,1,'l',0.667681396,0,0,1
820Hz.wav,6,0.9,h,1,'h',0.4605546,33,1,1
820Hz.wav,6,1.1,h,1,'h',0.36159271,34,1,1
820Hz.wav,6,1.3,h,0,'l',0.306338489,24,1,1
820Hz.wav,6,1.5,h,1,'h',0.490268111,11,1,1
820Hz.wav,2,0.9,l,1,'l',1.172425985,41,1,1
820Hz.wav,2,1.1,l,1,'l',0.463787287,45,1,1
820Hz.wav,2,1.3,l,1,'l',0.489327013,29,1,1
820Hz.wav,2,1.5,l,1,'l',0.582264304,46,1,1
silence.wav,6,0.9,h,1,'h',0.453863114,12,0,1
silence.wav,6,1.1,h,1,'h',0.462664098,32,0,1
silence.wav,6,1.3,h,1,'h',0.484927505,25,0,1
silence.wav,6,1.5,h,1,'h',0.431435913,36,0,1
silence.wav,2,0.9,l,1,'l',0.370828599,18,0,1
silence.wav,2,1.1,l,1,'l',0.430321187,2,0,1
silence.wav,2,1.3,l,1,'l',0.577518821,27,0,1
silence.wav,2,1.5,l,1,'l',0.436228514,6,0,1
220Hz.wav,3,0.9,l,1,'l',0.2312406,39,1,0
220Hz.wav,3,1.1,l,1,'l',0.298282593,19,1,0
220Hz.wav,3,1.3,l,1,'l',0.439026296,29,1,0
220Hz.wav,3,1.5,l,1,'l',0.376500487,13,1,0
1440Hz.wav,3,0.9,h,1,'h',0.468964696,20,1,0
1440Hz.wav,3,1.1,h,1,'h',0.569438696,8,1,0
1440Hz.wav,3,1.3,h,1,'h',0.213981003,45,1,0
1440Hz.wav,3,1.5,h,1,'h',0.313441992,17,1,0
220Hz.wav,0,0.9,l,1,'l',0.409966201,23,0,0
220Hz.wav,0,1.1,l,1,'l',0.438598603,6,0,0
220Hz.wav,0,1.3,l,1,'l',0.334543705,38,0,0
220Hz.wav,0,1.5,l,1,'l',0.470465004,34,0,0
1440Hz.wav,0,0.9,h,1,'h',0.378219008,35,0,0
1440Hz.wav,0,1.1,h,1,'h',0.255176187,47,0,0
1440Hz.wav,0,1.3,h,1,'h',0.333445191,46,0,0
1440Hz.wav,0,1.5,h,1,'h',0.37123251,26,0,0
220Hz.wav,3,0.9,l,1,'l',0.403528988,18,1,0
220Hz.wav,3,1.1,l,1,'l',0.340546906,37,1,0
220Hz.wav,3,1.3,l,1,'l',0.331431001,31,1,0
220Hz.wav,3,1.5,l,1,'l',0.275119185,10,1,0
1440Hz.wav,3,0.9,h,1,'h',0.409270406,16,1,0
1440Hz.wav,3,1.1,h,1,'h',0.885053515,3,1,0
1440Hz.wav,3,1.3,h,1,'h',0.397704393,42,1,0
1440Hz.wav,3,1.5,h,1,'h',0.27058509,43,1,0
220Hz.wav,0,0.9,l,1,'l',0.448844403,28,0,0
220Hz.wav,0,1.1,l,1,'l',0.420603603,30,0,0
220Hz.wav,0,1.3,l,1,'l',0.309729397,40,0,0
220Hz.wav,0,1.5,l,1,'l',0.364146888,2,0,0
1440Hz.wav,0,0.9,h,1,'h',0.290138513,44,0,0
1440Hz.wav,0,1.1,h,1,'h',0.460221797,7,0,0
1440Hz.wav,0,1.3,h,1,'h',0.527762771,22,0,0
1440Hz.wav,0,1.5,h,1,'h',0.356603593,33,0,0
220Hz.wav,3,0.9,l,1,'l',0.690423727,5,1,0
220Hz.wav,3,1.1,l,1,'l',0.449601203,21,1,0
220Hz.wav,3,1.3,l,1,'l',0.227472097,27,1,0
220Hz.wav,3,1.5,l,1,'l',0.410917908,9,1,0
1440Hz.wav,3,0.9,h,1,'h',0.432431698,24,1,0
1440Hz.wav,3,1.1,h,1,'h',0.831890583,0,1,0
1440Hz.wav,3,1.3,h,0,'l',0.264581412,41,1,0
1440Hz.wav,3,1.5,h,1,'h',0.477450907,15,1,0
220Hz.wav,0,0.9,l,1,'l',0.305805713,36,0,0
220Hz.wav,0,1.1,l,1,'l',0.450774014,12,0,0
220Hz.wav,0,1.3,l,1,'l',0.703660786,1,0,0
220Hz.wav,0,1.5,l,1,'l',0.327930391,25,0,0
1440Hz.wav,0,0.9,h,1,'h',0.777334571,4,0,0
1440Hz.wav,0,1.1,h,1,'h',0.445556998,32,0,0
